Row Labels,Anchovy,Banana,Beef,Cassava,Cassava Chips(Kokonte),Coconut Oil,Cocoyam,Cowpea,Dried pepper,Eggs commercial,Fresh pepper,Garden Egg,Gari,Ginger,Groundnut (Red),Groundnut Oil,Live bird,Maize ,Mango,Millet,Okro,Onion,Oranges,Paddy Rice,Palm  Fruit,Palm Oil,Pineapple,Plantain (Apem),Plantain (Apentu),Pork,Rice - Imported (non-perfumed),Rice - Imported (perfumed),Rice Local  (local perfumed),Rice Local (non-perfumed),Salted Dried Fish(Koobi),Smoked Herrings,Sorghum,Soya Bean,Tomatoes,Yam (White)
SUNYANI,,,,#DIV/0!,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,#DIV/0!,,,#DIV/0!,,#DIV/0!,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,#DIV/0!,#DIV/0!,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,#DIV/0!,#DIV/0!,,#DIV/0!,#DIV/0!
TAKORADI,,,,70,,,180,350,650,15,195,,,,450,,,150,,200,,250,12,140,60,90,,17,14,,240,275,115,100,,45,180,,600,400
TAMALE,,,,60,,,#DIV/0!,200,80,13,#DIV/0!,,,,320,,,90,,100,,280,20,70,#DIV/0!,57,,20,15,,220,200,100,90,,#DIV/0!,90,,300,130
TECHIMAN,,,,36,,,120,200,250,12,170,,,,320,,,77,,140,,107,7,75,58,83,,10,8,,230,270,120,100,,40,135,,320,300
TEMA,,,,70,,,140,266,280,15,#DIV/0!,,,,440,,,133,,170,,170,16,#DIV/0!,70,80,,#DIV/0!,#DIV/0!,,210,250,#DIV/0!,#DIV/0!,,50,#DIV/0!,,600,#DIV/0!
WA,,,,70,,,#DIV/0!,253,372.8,14,300,,,,307.5,,,89.3,,125.2,,240,24,109.6,#DIV/0!,141.1,,#DIV/0!,30,,160,#DIV/0!,#DIV/0!,142.85,,#DIV/0!,105.1,,135,220
2ND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACCRA,,,,50,,,203,340,250,14,215,,,,418,,,130,,180,,148,15,#DIV/0!,50,74,,11,9,,230,200,200,160,,65,210,,327,330
BOLGATANGA,,,,#DIV/0!,,,#DIV/0!,280,#DIV/0!,10,#DIV/0!,,,,350,,,100,,110,,150,30,85,#DIV/0!,50,,20,15,,140,270,150,110,,#DIV/0!,100,,100,380
CAPECOAST,,,,38,,,250,360,150,13,110,,,,450,,,160,,200,,240,11,130,20,90,,18,14,,200,280,150,125,,45,220,,400,300
EJURA,,,,20,,,180,180,300,15,150,,,,300,,,100,,150,,200,25,80,#DIV/0!,60,,11,12,,200,280,150,110,,#DIV/0!,130,,200,430
HO,,,,90,,,91,305,148,9,66,,,,410,,,135,,149,,140,24,#DIV/0!,40,80,,11,14,,155,200,80,95,,14,153,,400,450
KOFORIDUA,,,,35,,,150,320,400,14,280,,,,290,,,150,,180,,150,#DIV/0!,#DIV/0!,40,120,,15,8,,220,270,#DIV/0!,#DIV/0!,,35,200,,700,230
KUMASI,,,,30,,,92,200,140,14,180,,,,350,,,120,,160,,200,6.5,90,62,200,,30,10,,200,280,135,130,,65,150,,200,200
MANKESSIM,,,,39.5,,,185,370,220,13.5,185,,,,450,,,190,,190,,170,14,100,35,75,,15.5,8.5,,190,275,160,140,,32,210,,460,380
OBUASI,,,,25,,,120,320,240,12,200,,,,290,,,110,,170,,150,10,100,15,90,,15,8,,160,210,90,90,,100,220,,400,350
SUNYANI,,,,#DIV/0!,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,#DIV/0!,,,#DIV/0!,,#DIV/0!,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,#DIV/0!,#DIV/0!,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,#DIV/0!,#DIV/0!,,#DIV/0!,#DIV/0!
TAKORADI,,,,70,,,180,350,650,15,195,,,,450,,,150,,200,,250,12,140,60,90,,17,14,,240,275,115,100,,45,180,,600,400
TAMALE,,,,60,,,#DIV/0!,200,80,13,#DIV/0!,,,,320,,,90,,100,,280,20,70,#DIV/0!,57,,20,15,,220,200,100,90,,#DIV/0!,90,,300,130
TECHIMAN,,,,36,,,120,200,250,12,170,,,,320,,,77,,140,,107,7,75,58,83,,10,8,,230,270,120,100,,40,135,,320,300
TEMA,,,,70,,,140,266,280,15,#DIV/0!,,,,440,,,133,,170,,170,16,#DIV/0!,70,80,,#DIV/0!,#DIV/0!,,210,250,#DIV/0!,#DIV/0!,,50,#DIV/0!,,600,#DIV/0!
WA,,,,62.5,,,#DIV/0!,214.1,427.2,10,166.7,,,,239.2,,,60.7,,107.3,,180,19,91.3,#DIV/0!,83.5,,#DIV/0!,20,,110,170,107.1,#DIV/0!,,#DIV/0!,97.3,,#DIV/0!,220
3RD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACCRA,,,,50,,,203,340,250,14,215,,,,418,,,130,,180,,148,15,#DIV/0!,50,74,,11,9,,230,200,200,160,,65,210,,327,330
BOLGATANGA,,,,#DIV/0!,,,#DIV/0!,280,#DIV/0!,10,#DIV/0!,,,,350,,,100,,110,,150,30,85,#DIV/0!,50,,20,15,,140,270,150,110,,#DIV/0!,100,,100,380
CAPECOAST,,,,38,,,250,360,150,13,110,,,,450,,,160,,200,,240,11,130,20,90,,18,14,,200,280,150,125,,45,220,,400,300
EJURA,,,,20,,,180,180,300,15,150,,,,300,,,130,,150,,180,25,80,#DIV/0!,60,,11,12,,190,280,150,110,,#DIV/0!,130,,250,430
HO,,,,90,,,91,305,148,9,66,,,,410,,,135,,149,,140,24,#DIV/0!,40,80,,11,14,,155,200,80,95,,14,153,,400,450
KOFORIDUA,,,,35,,,150,320,400,14,280,,,,290,,,150,,180,,150,#DIV/0!,#DIV/0!,40,120,,15,8,,220,270,#DIV/0!,#DIV/0!,,35,200,,700,230
KUMASI,,,,30,,,92,200,140,14,180,,,,350,,,120,,160,,200,6.5,90,62,200,,30,10,,200,280,135,130,,65,150,,200,200
MANKESSIM,,,,39.5,,,185,370,220,13.5,185,,,,450,,,190,,190,,170,14,100,35,75,,15.5,8.5,,190,275,160,140,,32,210,,460,380
OBUASI,,,,25,,,120,320,240,12,200,,,,290,,,110,,170,,150,10,100,15,90,,15,8,,160,210,90,90,,100,220,,400,350
SUNYANI,,,,#DIV/0!,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,#DIV/0!,,,#DIV/0!,,#DIV/0!,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,#DIV/0!,#DIV/0!,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,#DIV/0!,#DIV/0!,,#DIV/0!,#DIV/0!
TAKORADI,,,,70,,,180,350,650,15,195,,,,450,,,150,,200,,250,12,140,60,90,,17,14,,240,275,115,100,,45,180,,600,400
TAMALE,,,,60,,,#DIV/0!,200,80,13,#DIV/0!,,,,320,,,90,,100,,280,20,70,#DIV/0!,57,,20,15,,220,200,100,90,,#DIV/0!,90,,300,130
TECHIMAN,,,,36,,,120,200,250,12,170,,,,320,,,77,,140,,107,7,75,58,83,,10,8,,230,270,120,100,,40,135,,320,300
TEMA,,,,70,,,140,266,280,15,#DIV/0!,,,,440,,,133,,170,,170,16,#DIV/0!,70,80,,#DIV/0!,#DIV/0!,,210,250,#DIV/0!,#DIV/0!,,50,#DIV/0!,,600,#DIV/0!
WA,,,,62.5,,,#DIV/0!,214.1,427.2,10,166.7,,,,239.2,,,60.7,,107.3,,180,19,91.3,#DIV/0!,83.5,,#DIV/0!,20,,110,170,107.1,#DIV/0!,,#DIV/0!,97.3,,#DIV/0!,220
4TH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACCRA,,,,50,,,203,340,250,14,215,,,,418,,,130,,180,,148,15,#DIV/0!,50,74,,11,9,,230,200,200,160,,65,210,,327,330
BOLGATANGA,,,,#DIV/0!,,,#DIV/0!,280,#DIV/0!,10,#DIV/0!,,,,350,,,100,,110,,150,30,100,#DIV/0!,50,,20,15,,160,280,150,110,,#DIV/0!,100,,200,400
CAPECOAST,,,,39.5,,,185,370,220,13.5,185,,,,450,,,190,,190,,170,14,100,35,75,,15.5,8.5,,190,275,160,140,,32,210,,460,380
EJURA,,,,20,,,180,250,300,12,150,,,,300,,,120,,150,,150,25,80,#DIV/0!,60,,12,10,,190,280,150,110,,#DIV/0!,130,,220,430
HO,,,,90,,,91,305,148,9,66,,,,410,,,135,,149,,140,24,#DIV/0!,40,80,,11,14,,155,200,80,95,,14,153,,400,450
KOFORIDUA,,,,35,,,150,320,400,14,280,,,,290,,,150,,180,,150,#DIV/0!,#DIV/0!,40,120,,15,8,,220,270,#DIV/0!,#DIV/0!,,35,200,,700,230
KUMASI,,,,27,,,92,210,200,14,140,,,,350,,,125,,150,,180,7,90,64,90,,30,10,,240,280,135,130,,60,140,,200,200
MANKESSIM,,,,39.5,,,185,370,220,13.5,185,,,,450,,,190,,190,,170,14,100,35,75,,15.5,8.5,,190,275,160,140,,32,210,,460,380
OBUASI,,,,25,,,90,320,240,12,200,,,,290,,,110,,170,,200,10,100,15,90,,15,8,,160,210,90,90,,100,220,,300,350
SUNYANI,,,,#DIV/0!,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,#DIV/0!,,,#DIV/0!,,#DIV/0!,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,#DIV/0!,#DIV/0!,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,#DIV/0!,#DIV/0!,,#DIV/0!,#DIV/0!
TAKORADI,,,,70,,,180,350,650,15,195,,,,420,,,150,,200,,250,12,140,60,90,,17,14,,240,275,115,100,,40,180,,500,380
TAMALE,,,,60,,,#DIV/0!,200,80,13,#DIV/0!,,,,320,,,90,,100,,280,20,70,#DIV/0!,57,,20,15,,220,200,100,90,,#DIV/0!,90,,300,130
TECHIMAN,,,,36,,,120,200,250,12,170,,,,320,,,77,,140,,107,7,75,58,83,,10,8,,230,270,120,100,,40,135,,320,300
TEMA,,,,70,,,140,266,280,15,#DIV/0!,,,,440,,,133,,170,,170,16,#DIV/0!,70,80,,#DIV/0!,#DIV/0!,,210,250,#DIV/0!,#DIV/0!,,50,#DIV/0!,,600,#DIV/0!
WA,,,,62.5,,,#DIV/0!,214.1,427.2,10,166.7,,,,239.2,,,60.7,,107.3,,180,19,91.3,#DIV/0!,83.5,,#DIV/0!,20,,110,170,107.1,#DIV/0!,,#DIV/0!,97.3,,#DIV/0!,220
APRIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACCRA,,,,50,,,200,340,270,14,215,,,,431,,,134,,183,,145,15,#DIV/0!,50,74,,12,10,,200,240,210,168,,75,203,,317,330
BOLGATANGA,,,,#DIV/0!,,,#DIV/0!,300,#DIV/0!,10,#DIV/0!,,,,320,,,100,,120,,150,30,100,#DIV/0!,50,,20,18,,160,280,150,110,,#DIV/0!,100,,270,400
CAPECOAST,,,,39.5,,,185,370,220,13.5,185,,,,450,,,190,,190,,170,14,100,35,75,,15.5,8.5,,190,275,160,140,,32,210,,460,380
EJURA,,,,20,,,200,200,300,12,120,,,,280,,,130,,100,,180,25,100,#DIV/0!,60,,15,10,,220,350,160,115,,#DIV/0!,100,,200,480
HO,,,,90,,,91,305,148,9,66,,,,410,,,135,,149,,140,24,#DIV/0!,40,80,,11,14,,155,200,80,95,,14,153,,400,450
KOFORIDUA,,,,35,,,150,320,400,14,280,,,,390,,,170,,180,,13,#DIV/0!,#DIV/0!,40,120,,16,10,,220,270,#DIV/0!,#DIV/0!,,50,200,,700,350
KUMASI,,,,28,,,90,200,200,14,120,,,,350,,,125,,145,,180,7.5,90,60,90,,30,11,,200,280,130,125,,60,140,,180,210
MANKESSIM,,,,39.5,,,185,370,220,13.5,185,,,,450,,,190,,190,,170,14,100,35,75,,15.5,8.5,,190,275,160,140,,32,210,,460,380
OBUASI,,,,25,,,90,320,240,12,200,,,,290,,,110,,170,,200,10,100,15,90,,15,8,,160,210,90,90,,100,220,,300,350
SUNYANI,,,,#DIV/0!,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,#DIV/0!,,,#DIV/0!,,#DIV/0!,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,#DIV/0!,#DIV/0!,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,#DIV/0!,#DIV/0!,,#DIV/0!,#DIV/0!
TAKORADI,,,,70,,,180,350,650,15,195,,,,420,,,150,,200,,250,12,140,60,90,,17,14,,240,275,115,100,,40,180,,500,380
TAMALE,,,,60,,,#DIV/0!,240,80,13,#DIV/0!,,,,340,,,100,,140,,230,20,70,#DIV/0!,57,,20,15,,195,270,160,100,,#DIV/0!,120,,250,130
TECHIMAN,,,,36,,,120,200,250,12,170,,,,320,,,77,,140,,107,7,75,58,83,,10,8,,230,270,120,100,,40,135,,320,300
TEMA,,,,60,,,140,260,280,15,#DIV/0!,,,,440,,,133,,170,,140,16,#DIV/0!,60,80,,#DIV/0!,15,,194,260,#DIV/0!,#DIV/0!,,50,#DIV/0!,,600,#DIV/0!
WA,,,,70,,,#DIV/0!,233.6,372.8,14,350,,,,307.5,,,89.3,,125.2,,180,24,109.6,#DIV/0!,141.1,,#DIV/0!,30,,160,#DIV/0!,#DIV/0!,142.85,,#DIV/0!,166.8,,150,260
2ND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACCRA,,,,50,,,200,340,270,14,215,,,,431,,,134,,183,,145,15,#DIV/0!,50,74,,12,10,,200,240,210,168,,75,203,,317,330
BOLGATANGA,,,,#DIV/0!,,,#DIV/0!,280,#DIV/0!,10,#DIV/0!,,,,350,,,100,,110,,150,30,100,#DIV/0!,50,,20,15,,160,280,150,110,,#DIV/0!,100,,200,400
CAPECOAST,,,,39.5,,,185,370,220,13.5,185,,,,450,,,190,,190,,170,14,100,35,75,,15.5,8.5,,190,275,160,140,,32,210,,460,380
EJURA,,,,20,,,200,200,300,12,120,,,,280,,,130,,100,,180,25,100,#DIV/0!,65,,15,10,,220,350,160,115,,#DIV/0!,100,,200,480
HO,,,,90,,,91,305,148,9,66,,,,410,,,135,,149,,140,24,#DIV/0!,40,80,,11,14,,155,200,80,95,,14,153,,400,450
KOFORIDUA,,,,35,,,150,320,400,14,280,,,,290,,,150,,180,,150,#DIV/0!,#DIV/0!,40,120,,15,8,,220,270,#DIV/0!,#DIV/0!,,35,200,,700,230
KUMASI,,,,28,,,88,200,210,14,120,,,,350,,,120,,150,,175,7,92,64,90,,30,10,,200,280,130,120,,60,140,,184,200
MANKESSIM,,,,39.5,,,185,370,220,13.5,185,,,,450,,,190,,190,,170,14,100,35,75,,15.5,8.5,,190,275,160,140,,32,210,,460,380
OBUASI,,,,25,,,90,320,240,12,200,,,,290,,,110,,170,,200,10,100,15,90,,15,8,,160,210,90,90,,100,220,,300,350
SUNYANI,,,,#DIV/0!,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,#DIV/0!,,,#DIV/0!,,#DIV/0!,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,#DIV/0!,#DIV/0!,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,#DIV/0!,#DIV/0!,,#DIV/0!,#DIV/0!
TAKORADI,,,,35,,,150,320,400,14,280,,,,390,,,170,,180,,13,#DIV/0!,#DIV/0!,40,120,,16,10,,220,270,#DIV/0!,#DIV/0!,,50,200,,700,350
TAMALE,,,,60,,,#DIV/0!,240,80,13,#DIV/0!,,,,340,,,100,,140,,230,20,70,#DIV/0!,57,,20,15,,195,270,160,100,,#DIV/0!,120,,250,130
TECHIMAN,,,,36,,,120,200,250,12,170,,,,320,,,77,,140,,107,7,75,58,83,,10,8,,230,270,120,100,,40,135,,320,300
TEMA,,,,60,,,140,260,280,15,#DIV/0!,,,,440,,,133,,170,,140,16,#DIV/0!,60,80,,#DIV/0!,15,,194,260,#DIV/0!,#DIV/0!,,50,#DIV/0!,,600,#DIV/0!
WA,,,,#DIV/0!,,,#DIV/0!,233.6,372.8,14,350,,,,307.5,,,107.1,,125.2,,180,24,109.6,#DIV/0!,141.1,,#DIV/0!,#DIV/0!,,160,#DIV/0!,#DIV/0!,142.85,,#DIV/0!,166.8,,150,260
3RD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACCRA,,,,50,,,203,340,325,14,205,,,,443,,,151,,191,,140,16,#DIV/0!,50,75,,23,15,,200,230,210,170,,75,200,,423,320
BOLGATANGA,,,,#DIV/0!,,,#DIV/0!,300,#DIV/0!,10,#DIV/0!,,,,320,,,110,,120,,150,30,100,#DIV/0!,50,,20,18,,160,280,150,110,,#DIV/0!,120,,250,450
CAPECOAST,,,,39.5,,,185,370,220,13.5,185,,,,450,,,190,,190,,170,14,100,35,75,,15.5,8.5,,190,275,160,140,,32,210,,460,380
EJURA,,,,20,,,180,250,300,12,150,,,,300,,,120,,150,,150,25,80,#DIV/0!,60,,12,10,,190,280,150,110,,#DIV/0!,130,,220,430
HO,,,,90,,,91,305,148,9,66,,,,410,,,135,,149,,140,24,#DIV/0!,40,80,,11,14,,155,200,80,95,,14,153,,400,450
KOFORIDUA,,,,35,,,150,320,400,14,240,,,,390,,,180,,180,,170,#DIV/0!,#DIV/0!,40,120,,22,10,,220,270,#DIV/0!,#DIV/0!,,45,200,,600,300
KUMASI,,,,28,,,80,200,20,15,150,,,,350,,,125,,150,,150,6,95,44,90,,28,10,,200,280,130,125,,70,140,,200,220
MANKESSIM,,,,39.5,,,185,370,220,13.5,185,,,,450,,,190,,190,,170,14,100,35,75,,15.5,8.5,,190,275,160,140,,32,210,,460,380
OBUASI,,,,25,,,90,320,240,12,200,,,,290,,,110,,170,,200,10,100,15,90,,15,8,,160,210,90,90,,100,220,,300,350
SUNYANI,,,,#DIV/0!,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,#DIV/0!,,,#DIV/0!,,#DIV/0!,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,#DIV/0!,#DIV/0!,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,#DIV/0!,#DIV/0!,,#DIV/0!,#DIV/0!
TAKORADI,,,,75,,,170,380,600,16,180,,,,450,,,150,,220,,170,15,140,50,80,,18,15,,240,280,110,100,,40,200,,450,400
TAMALE,,,,60,,,#DIV/0!,240,80,13,#DIV/0!,,,,340,,,100,,140,,230,20,70,#DIV/0!,57,,20,15,,195,270,90,100,,#DIV/0!,120,,250,130
TECHIMAN,,,,36,,,100,240,290,12,220,,,,380,,,92,,120,,78,8,80,50,90,,12,10,,200,260,100,100,,80,130,,320,300
TEMA,,,,60,,,140,352,300,15,#DIV/0!,,,,440,,,150,,240,,140,16,#DIV/0!,60,80,,#DIV/0!,15,,194,260,#DIV/0!,#DIV/0!,,50,#DIV/0!,,370,#DIV/0!
WA,,,,62.5,,,#DIV/0!,214.1,427.2,10,166.7,,,,239.2,,,60.7,,107.3,,180,19,91.3,#DIV/0!,83.5,,#DIV/0!,20,,110,170,107.1,#DIV/0!,,#DIV/0!,97.3,,#DIV/0!,220
4TH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACCRA,,,,50,,,203,340,270,14,205,,,,431,,,143,,181,,145,17,#DIV/0!,50,73,,25,15,,200,230,206,168,,75,203,,409,330
BOLGATANGA,,,,#DIV/0!,,,#DIV/0!,300,#DIV/0!,10,#DIV/0!,,,,320,,,110,,120,,180,#DIV/0!,100,#DIV/0!,50,,20,18,,160,300,150,110,,#DIV/0!,120,,200,450
CAPECOAST,,,,39.5,,,185,370,220,13.5,185,,,,450,,,190,,190,,170,14,100,35,75,,15.5,8.5,,190,275,160,140,,32,210,,460,380
EJURA,,,,20,,,180,250,300,12,150,,,,300,,,120,,150,,150,25,80,#DIV/0!,60,,12,10,,190,280,150,110,,#DIV/0!,130,,220,430
HO,,,,90,,,91,305,148,9,66,,,,410,,,135,,149,,140,24,#DIV/0!,40,80,,11,14,,155,200,80,95,,14,153,,400,450
KOFORIDUA,,,,35,,,150,320,400,14,280,,,,290,,,150,,180,,150,#DIV/0!,#DIV/0!,40,120,,15,8,,220,270,#DIV/0!,#DIV/0!,,35,200,,700,230
KUMASI,,,,28,,,80,200,20,15,150,,,,350,,,125,,150,,150,6,95,44,90,,28,10,,200,280,130,125,,70,140,,200,220
MANKESSIM,,,,39.5,,,185,370,220,13.5,185,,,,450,,,190,,190,,170,14,100,35,75,,15.5,8.5,,190,275,160,140,,32,210,,460,380
OBUASI,,,,25,,,90,320,240,12,200,,,,290,,,110,,170,,200,10,100,15,90,,15,8,,160,210,90,90,,100,220,,300,350
SUNYANI,,,,#DIV/0!,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,#DIV/0!,,,#DIV/0!,,#DIV/0!,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,#DIV/0!,#DIV/0!,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,#DIV/0!,#DIV/0!,,#DIV/0!,#DIV/0!
TAKORADI,,,,75,,,170,380,600,16,180,,,,450,,,150,,220,,170,15,140,50,80,,18,15,,240,280,110,100,,40,200,,450,400
TAMALE,,,,60,,,#DIV/0!,240,80,13,#DIV/0!,,,,340,,,100,,140,,230,20,70,#DIV/0!,57,,20,15,,195,270,90,100,,#DIV/0!,120,,250,130
TECHIMAN,,,,36,,,100,240,290,12,220,,,,380,,,92,,120,,78,8,80,50,90,,12,10,,200,260,100,100,,80,130,,320,300
TEMA,,,,60,,,140,352,280,15,140,,,,440,,,133,,240,,140,16,#DIV/0!,60,80,,#DIV/0!,15,,194,260,#DIV/0!,#DIV/0!,,50,#DIV/0!,,400,#DIV/0!
WA,,,,62.5,,,#DIV/0!,214.1,427.2,10,166.7,,,,239.2,,,60.7,,107.3,,180,19,91.3,#DIV/0!,83.5,,#DIV/0!,20,,110,170,107.1,#DIV/0!,,#DIV/0!,97.3,,#DIV/0!,220
MAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACCRA,,,,50,,,170,330,240,14,200,,,,450,,,140,,200,,140,15,#DIV/0!,50,75,,13,10,,200,220,200,190,,95,210,,360,300
BOLGATANGA,,,,#DIV/0!,,,#DIV/0!,300,#DIV/0!,10,#DIV/0!,,,,380,,,110,,120,,150,#DIV/0!,100,#DIV/0!,50,,20,18,,160,300,160,120,,#DIV/0!,100,,160,500
CAPECOAST,,,,39,,,270,360,160,13,120,,,,450,,,160,,200,,180,12,130,18,90,,18,14,,200,280,150,125,,50,220,,400,300
EJURA,,,,20,,,200,200,300,12,120,,,,280,,,130,,100,,180,25,100,#DIV/0!,60,,15,10,,220,350,160,115,,#DIV/0!,100,,200,500
HO,,,,70,,,85,380,285,13,#DIV/0!,,,,270,,,150,,#DIV/0!,,200,20,#DIV/0!,25,81,,17,18,,150,260,125,115,,83,257,,350,365
KOFORIDUA,,,,40,,,120,320,400,14,240,,,,390,,,200,,180,,230,#DIV/0!,#DIV/0!,40,120,,25,13,,220,270,#DIV/0!,#DIV/0!,,55,200,,250,350
KUMASI,,,,30,,,85,200,200,14,145,,,,340,,,120,,150,,140,6,85,35,90,,26,10,,200,280,130,120,,60,140,,200,180
MANKESSIM,,,,40,,,200,385,220,13.5,96,,,,450,,,190,,200,,140,17.5,100,30,68,,17,8.8,,200,285,167.5,140,,35,220,,300,400
OBUASI,,,,35,,,80,320,400,13,200,,,,290,,,150,,170,,150,10,100,15,70,,35,15,,160,210,90,90,,100,220,,220,450
SUNYANI,,,,35,,,135,260,275,12,120,,,,360,,,128,,180,,200,8,#DIV/0!,48,60,,9,8,,158,230,130,130,,80,150,,280,350
TAKORADI,,,,75,,,170,380,300,15,180,,,,450,,,200,,200,,180,15,150,65,85,,18,15,,250,280,220,190,,45,200,,700,380
TAMALE,,,,60,,,#DIV/0!,240,80,13,#DIV/0!,,,,340,,,100,,140,,230,20,70,#DIV/0!,57,,20,15,,195,270,160,100,,#DIV/0!,120,,250,140
TECHIMAN,,,,36,,,120,220,320,12,240,,,,380,,,108,,140,,68,8,80,47,90,,10,8,,200,270,100,110,,70,140,,220,300
TEMA,,,,60,,,120,352,300,15,#DIV/0!,,,,440,,,150,,240,,170,20,#DIV/0!,60,80,,#DIV/0!,#DIV/0!,,185,260,#DIV/0!,#DIV/0!,,#DIV/0!,#DIV/0!,,350,#DIV/0!
WA,,,,#DIV/0!,,,#DIV/0!,253,372.8,14,266,,,,341.7,,,114.3,,143.1,,180,#DIV/0!,109.6,#DIV/0!,141.1,,#DIV/0!,30,,160,#DIV/0!,#DIV/0!,142.85,,#DIV/0!,116.8,,150,390
2ND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACCRA,,,,50,,,170,330,240,14,200,,,,450,,,140,,200,,140,15,#DIV/0!,50,75,,13,10,,200,220,200,190,,95,210,,360,300
BOLGATANGA,,,,#DIV/0!,,,#DIV/0!,300,#DIV/0!,10,#DIV/0!,,,,380,,,130,,150,,160,#DIV/0!,100,#DIV/0!,50,,20,18,,160,300,160,120,,#DIV/0!,120,,100,500
CAPECOAST,,,,39,,,270,360,160,13,120,,,,450,,,160,,200,,180,12,130,18,90,,18,14,,200,280,150,125,,50,220,,400,300
EJURA,,,,18,,,200,220,300,12,120,,,,280,,,150,,100,,200,25,100,#DIV/0!,60,,16,7,,220,350,160,115,,#DIV/0!,100,,200,500
HO,,,,73,,,85,380,285,14,#DIV/0!,,,,270,,,150,,#DIV/0!,,200,20,#DIV/0!,20,81,,17,18,,150,260,125,115,,80,257,,320,365
KOFORIDUA,,,,40,,,120,320,400,14,240,,,,390,,,200,,180,,230,#DIV/0!,#DIV/0!,40,120,,25,13,,220,270,#DIV/0!,#DIV/0!,,55,200,,250,350
KUMASI,,,,30,,,85,200,200,14,145,,,,340,,,120,,150,,140,6,85,35,90,,26,10,,200,280,130,120,,60,140,,200,180
MANKESSIM,,,,40,,,200,385,220,13.5,96,,,,450,,,190,,200,,140,17.5,100,30,68,,17,8.8,,200,285,167.5,140,,35,220,,300,400
OBUASI,,,,35,,,80,320,400,13,200,,,,290,,,150,,170,,150,10,100,15,70,,35,15,,160,210,90,90,,100,220,,220,450
SUNYANI,,,,35,,,135,260,275,12,120,,,,360,,,128,,180,,200,8,#DIV/0!,48,60,,9,8,,158,230,130,130,,80,150,,280,350
TAKORADI,,,,75,,,170,380,600,16,180,,,,450,,,150,,220,,170,15,140,50,80,,18,15,,240,280,110,100,,40,200,,450,400
TAMALE,,,,60,,,#DIV/0!,240,136,13,#DIV/0!,,,,360,,,140,,160,,200,20,80,#DIV/0!,57,,20,15,,250,280,120,110,,#DIV/0!,160,,200,150
TECHIMAN,,,,36,,,130,240,320,12,86,,,,410,,,108,,140,,107,#DIV/0!,90,50,90,,12,10,,220,270,130,115,,70,140,,240,340
TEMA,,,,60,,,120,352,300,15,#DIV/0!,,,,440,,,150,,240,,170,20,#DIV/0!,60,80,,#DIV/0!,#DIV/0!,,185,260,#DIV/0!,#DIV/0!,,#DIV/0!,#DIV/0!,,350,#DIV/0!
